company_name,domain,processing_version,weighted_psi_score,averaged_psi_score,qualification_tier,purchase_probability,weighted_primary_edp,averaged_primary_edp,primary_edp_match,has_product_search,has_mobile_optimization,has_ssl,page_speed_score,sku_count_estimate,channel_count,rep_count_estimate,target_audience,geographic_presence,trade_shows_mentioned,product_types,campaign_type,email_count,linkedin_count,ad_suggestions_count,missing_features,evidence_hooks
Piet Boon,pietboon.com,v2_validated,50.6,52.0,TIER_B_ACTIVE,0.5313,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,7,2,100,Trade only,Worldwide,,"furniture, lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal","SSL EXPIRED - customers questioning credibility, Piet Boon 40% slower than digital competitors, Your 10 reps have no portal"
BAROVIER & TASO,barovier.com,v2_validated,64.75,69.0,TIER_B_ACTIVE,0.71225,EDP7_Sales_Enablement,EDP1_SKU_Complexity,False,False,True,True,Poor,5000,1,10,Mixed,USA,,decor,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","Your 10 reps have no portal, 2,000 SKUs but no search function"
Normann Copenhagen,normann-copenhagen.com,v2_validated,73.3,66.0,TIER_A_IMMEDIATE,0.7696500000000001,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,False,True,True,Poor,5000,1,100,Trade only,Worldwide,,"furniture, lighting, outdoor, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, Normann Copenhagen: Manual catalog navigation killing productivity, SSL EXPIRED - customers questioning credibility"
Normann Copenhagen,normann-copenhagen.com,v2_validated,73.3,66.0,TIER_A_IMMEDIATE,0.7696500000000001,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,False,True,True,Poor,5000,1,100,Trade only,Worldwide,,"furniture, lighting, outdoor, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, Normann Copenhagen: Manual catalog navigation killing productivity, SSL EXPIRED - customers questioning credibility"
CTO Lighting,ctolighting.co.uk,v2_validated,47.45,47.0,TIER_B_ACTIVE,0.49822500000000003,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,1,10,Trade only,Worldwide,,"lighting, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
ELA,ela-lighting.com,v2_validated,54.7,54.0,TIER_B_ACTIVE,0.6017000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,500,1,20,Mixed,Unknown,,"lighting, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Alva,alvalight.com,v2_validated,55.95,53.0,TIER_B_ACTIVE,0.61545,EDP7_Sales_Enablement,EDP7_Sales_Enablement,True,False,True,True,Poor,800,0,10,Trade only,USA,,"lighting, outdoor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards","No mobile site for High Point Market?, Alva: Manual catalog navigation killing productivity"
DVI,dvcanada.com,v2_validated,48.25,53.0,TIER_B_ACTIVE,0.506625,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,1,10,B2B wholesale,Unknown,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Luceplan,luceplan.com,v2_validated,44.2,48.0,TIER_B_ACTIVE,0.4641,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,100,Trade only,Worldwide,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
ELA,ela-lighting.com,v2_validated,54.7,54.0,TIER_B_ACTIVE,0.6017000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,500,1,20,Mixed,Unknown,,"lighting, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Meteor,meteoreducation.com,v2_validated,49.45,55.0,TIER_B_ACTIVE,0.519225,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,10,Mixed,Regional,,"furniture, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Meteor,meteoreducation.com,v2_validated,49.45,55.0,TIER_B_ACTIVE,0.519225,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,10,Mixed,Regional,,"furniture, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Meteor,meteoreducation.com,v2_validated,49.45,55.0,TIER_B_ACTIVE,0.519225,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,10,Mixed,Regional,,"furniture, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Meteor,meteoreducation.com,v2_validated,49.45,55.0,TIER_B_ACTIVE,0.519225,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,10,Mixed,Regional,,"furniture, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Rig-A-Lite,availinfra.com,v2_validated,52.2,50.0,TIER_B_ACTIVE,0.5481,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,100,Mixed,Worldwide,,"lighting, decor",crisis_intervention,3,2,2,"Comparison tool, Project boards, Rep portal","SSL EXPIRED - customers questioning credibility, Rig-A-Lite 40% slower than digital competitors, Your 10 reps have no portal"
Rig-A-Lite,availinfra.com,v2_validated,52.2,50.0,TIER_B_ACTIVE,0.5481,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,100,Mixed,Worldwide,,"lighting, decor",crisis_intervention,3,2,2,"Comparison tool, Project boards, Rep portal","SSL EXPIRED - customers questioning credibility, Rig-A-Lite 40% slower than digital competitors, Your 10 reps have no portal"
Rig-A-Lite,availinfra.com,v2_validated,52.2,50.0,TIER_B_ACTIVE,0.5481,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,100,Mixed,Worldwide,,"lighting, decor",crisis_intervention,3,2,2,"Comparison tool, Project boards, Rep portal","SSL EXPIRED - customers questioning credibility, Rig-A-Lite 40% slower than digital competitors, Your 10 reps have no portal"
Rig-A-Lite,availinfra.com,v2_validated,52.2,50.0,TIER_B_ACTIVE,0.5481,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,100,Mixed,Worldwide,,"lighting, decor",crisis_intervention,3,2,2,"Comparison tool, Project boards, Rep portal","SSL EXPIRED - customers questioning credibility, Rig-A-Lite 40% slower than digital competitors, Your 10 reps have no portal"
Rig-A-Lite,availinfra.com,v2_validated,52.2,50.0,TIER_B_ACTIVE,0.5481,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,100,Mixed,Worldwide,,"lighting, decor",crisis_intervention,3,2,2,"Comparison tool, Project boards, Rep portal","SSL EXPIRED - customers questioning credibility, Rig-A-Lite 40% slower than digital competitors, Your 10 reps have no portal"
Rig-A-Lite,availinfra.com,v2_validated,52.2,50.0,TIER_B_ACTIVE,0.5481,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,100,Mixed,Worldwide,,"lighting, decor",crisis_intervention,3,2,2,"Comparison tool, Project boards, Rep portal","SSL EXPIRED - customers questioning credibility, Rig-A-Lite 40% slower than digital competitors, Your 10 reps have no portal"
