company_name,domain,processing_version,weighted_psi_score,averaged_psi_score,qualification_tier,purchase_probability,weighted_primary_edp,averaged_primary_edp,primary_edp_match,has_product_search,has_mobile_optimization,has_ssl,page_speed_score,sku_count_estimate,channel_count,rep_count_estimate,target_audience,geographic_presence,trade_shows_mentioned,product_types,campaign_type,email_count,linkedin_count,ad_suggestions_count,missing_features,evidence_hooks
Oceano Oltreluce,oceanoltreluce.com,v2_validated,71.7,68.0,TIER_A_IMMEDIATE,0.7528500000000001,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,False,True,True,Poor,800,0,10,Mixed,Unknown,,"furniture, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, Oceano Oltreluce: Manual catalog navigation killing productivity, SSL EXPIRED - customers questioning credibility"
Lightly,lightly.com,v2_validated,66.55,65.0,TIER_B_ACTIVE,0.698775,EDP8_Technology_Obsolescence,EDP1_SKU_Complexity,False,False,True,True,Poor,5000,1,20,Mixed,USA,,lighting,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","SSL EXPIRED - customers questioning credibility, Lightly 40% slower than digital competitors, Your 10 reps have no portal"
EFFICIENTLIGHTS,efficientlightingco.com,v2_validated,52.45,53.0,TIER_B_ACTIVE,0.5507250000000001,EDP8_Technology_Obsolescence,EDP8_Technology_Obsolescence,True,True,True,True,Poor,5000,0,20,Trade only,Unknown,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal","SSL EXPIRED - customers questioning credibility, EFFICIENTLIGHTS 40% slower than digital competitors, Your 10 reps have no portal"
Cree Lighting,creelighting.com,v2_validated,59.9,62.0,TIER_B_ACTIVE,0.62895,EDP8_Technology_Obsolescence,EDP8_Technology_Obsolescence,True,False,True,True,Poor,500,3,20,Trade only,Worldwide,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Product search, Rep portal","SSL EXPIRED - customers questioning credibility, Cree Lighting 40% slower than digital competitors, Your 10 reps have no portal"
PLP COMPOSITES,plpcomp.com,v2_validated,61.45,55.0,TIER_B_ACTIVE,0.67595,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,2000,1,10,Mixed,USA,,,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, PLP COMPOSITES: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Balanced Care by Axis,axislighting.com,v2_validated,63.45,63.0,TIER_B_ACTIVE,0.6979500000000002,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,500,0,10,Mixed,Unknown,,lighting,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, Balanced Care by Axis: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Balanced Care by Axis,axislighting.com,v2_validated,63.45,63.0,TIER_B_ACTIVE,0.6979500000000002,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,500,0,10,Mixed,Unknown,,lighting,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, Balanced Care by Axis: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Liteline,liteline.com,v2_validated,45.95,53.0,TIER_B_ACTIVE,0.48247500000000004,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,2,100,Trade only,USA,,"lighting, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
DELTA LIGHT USA,deltalight.com,v2_validated,44.65,47.0,TIER_B_ACTIVE,0.46882500000000005,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,500,0,10,B2C retail,Unknown,,decor,crisis_intervention,3,2,2,"Comparison tool, Quote builder, Project boards, Rep portal",Your 10 reps have no portal
Pa-Co Lighting,pacolighting.com,v2_validated,48.25,53.0,TIER_B_ACTIVE,0.506625,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,1,10,Mixed,Unknown,,"lighting, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
LIND EQUIPMENT LTD,lindequipment.net,v2_validated,58.2,56.0,TIER_B_ACTIVE,0.6402000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,800,0,20,Mixed,Worldwide,,"lighting, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, LIND EQUIPMENT LTD: Manual catalog navigation killing productivity, Your 10 reps have no portal"
COOLEDGE LIGHTING,cooledgelighting.com,v2_validated,78.8,72.0,TIER_A_IMMEDIATE,0.8668,EDP7_Sales_Enablement,EDP1_SKU_Complexity,False,False,False,True,Poor,5000,1,100,Trade only,Worldwide,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Mobile site, Rep portal","No mobile site for High Point Market?, COOLEDGE LIGHTING: Manual catalog navigation killing productivity, SSL EXPIRED - customers questioning credibility"
Visa Lighting,visalighting.com,v2_validated,44.2,48.0,TIER_B_ACTIVE,0.4641,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,2022,1,100,B2C retail,Worldwide,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Edison Lighting Group,edisonlighting.ca,v2_validated,64.45,67.0,TIER_B_ACTIVE,0.7089500000000002,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,42,0,10,Mixed,Unknown,,lighting,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, Edison Lighting Group: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Balanced Care by Axis,axislighting.com,v2_validated,63.45,63.0,TIER_B_ACTIVE,0.6979500000000002,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,500,0,10,Mixed,Unknown,,lighting,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, Balanced Care by Axis: Manual catalog navigation killing productivity, Your 10 reps have no portal"
LIND EQUIPMENT LTD,lindequipment.net,v2_validated,58.2,56.0,TIER_B_ACTIVE,0.6402000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,800,0,20,Mixed,Worldwide,,"lighting, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, LIND EQUIPMENT LTD: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Pinnacle Architectural Lighting,pinnacle-ltg.com,v2_validated,69.25,75.0,TIER_B_ACTIVE,0.76175,EDP7_Sales_Enablement,EDP1_SKU_Complexity,False,False,True,True,Poor,5000,0,10,Mixed,Unknown,,"lighting, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, Pinnacle Architectural Lighting: Manual catalog navigation killing productivity, Your 10 reps have no portal"
