company_name,domain,processing_version,weighted_psi_score,averaged_psi_score,qualification_tier,purchase_probability,weighted_primary_edp,averaged_primary_edp,primary_edp_match,has_product_search,has_mobile_optimization,has_ssl,page_speed_score,sku_count_estimate,channel_count,rep_count_estimate,target_audience,geographic_presence,trade_shows_mentioned,product_types,campaign_type,email_count,linkedin_count,ad_suggestions_count,missing_features,evidence_hooks
"LDPI, INC.",ldpi-inc.com/,v2_validated,49.0,48.0,TIER_B_ACTIVE,0.5145,EDP8_Technology_Obsolescence,EDP8_Technology_Obsolescence,True,True,True,True,Poor,5000,0,10,Mixed,USA,,lighting,crisis_intervention,3,2,2,"Comparison tool, Quote builder, Project boards","SSL EXPIRED - customers questioning credibility, LDPI, INC. 40% slower than digital competitors"
LINAK,linak.com,v2_validated,49.45,55.0,TIER_B_ACTIVE,0.519225,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,1,100,Mixed,Worldwide,,"furniture, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Minted,minted.com,v2_validated,67.05,69.0,TIER_B_ACTIVE,0.73755,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,5000,1,10,B2B wholesale,Unknown,,"outdoor, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Rep portal","No mobile site for High Point Market?, Minted: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Minted,minted.com,v2_validated,49.45,55.0,TIER_B_ACTIVE,0.519225,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,1,10,B2B wholesale,Unknown,,"outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Minted,minted.com,v2_validated,49.45,55.0,TIER_B_ACTIVE,0.519225,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,1,10,B2B wholesale,Unknown,,"outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Golden Lighting,goldenlighting.com,v2_validated,41.0,38.0,TIER_B_ACTIVE,0.4305,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,2,20,Trade only,USA,Lightovation,"furniture, lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Jordan Manufacturing,jordanmanufacturing.com,v2_validated,58.2,56.0,TIER_B_ACTIVE,0.6402000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,800,1,20,B2C retail,USA,,"furniture, outdoor, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, Jordan Manufacturing: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Golden Lighting,goldenlighting.com,v2_validated,41.0,38.0,TIER_B_ACTIVE,0.4305,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,2,20,Trade only,USA,Lightovation,"furniture, lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Junk Gypsy Co.,gypsyville.com/,v2_validated,63.45,63.0,TIER_B_ACTIVE,0.6979500000000002,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,500,0,10,Mixed,Unknown,,,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, Junk Gypsy Co.: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Ameziel Inc.,songmics.com,v2_validated,53.1,50.0,TIER_B_ACTIVE,0.5575500000000001,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,3,0,10,Mixed,Worldwide,,"furniture, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal","SSL EXPIRED - customers questioning credibility, Ameziel Inc. 40% slower than digital competitors, Your 10 reps have no portal"
Ivystone Group LLC,ivystone.com,v2_validated,58.2,56.0,TIER_B_ACTIVE,0.6402000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,2000,2,20,B2B wholesale,Unknown,,decor,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, Ivystone Group LLC: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Golden Lighting,goldenlighting.com,v2_validated,41.0,38.0,TIER_B_ACTIVE,0.4305,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,2,20,Trade only,USA,Lightovation,"furniture, lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Corston Architectural Detail,corston.com,v2_validated,49.45,55.0,TIER_B_ACTIVE,0.519225,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,10,Trade only,USA,,"furniture, lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Business & Pleasure Co.,businessandpleasureco.com,v2_validated,47.25,49.0,TIER_B_ACTIVE,0.496125,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,3,10,B2B wholesale,Worldwide,,"furniture, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
Candleberry Candle Company,candleberry.com/,v2_validated,55.7,52.0,TIER_B_ACTIVE,0.5848500000000001,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,10,B2B wholesale,USA,,decor,crisis_intervention,3,2,2,"Comparison tool, Rep portal","SSL EXPIRED - customers questioning credibility, Candleberry Candle Company 40% slower than digital competitors, Your 10 reps have no portal"
Golden Lighting,goldenlighting.com,v2_validated,41.0,38.0,TIER_B_ACTIVE,0.4305,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,2,20,Trade only,USA,Lightovation,"furniture, lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Christopher Peacock,peacockhome.com,v2_validated,63.45,63.0,TIER_B_ACTIVE,0.6979500000000002,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,800,0,10,Mixed,USA,,,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, Christopher Peacock: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Christopher Peacock,peacockhome.com,v2_validated,63.45,63.0,TIER_B_ACTIVE,0.6979500000000002,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,800,0,10,Mixed,USA,,,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, Christopher Peacock: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Christopher Radko,christopherradko.com,v2_validated,50.9,44.0,TIER_B_ACTIVE,0.53445,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,144,2,10,B2C retail,Unknown,,decor,crisis_intervention,3,2,2,"Comparison tool, Quote builder, Rep portal","SSL EXPIRED - customers questioning credibility, Christopher Radko 40% slower than digital competitors, Your 10 reps have no portal"
Avanti Press & NIQUEA.D Greeting Cards,avantipress.com,v2_validated,61.45,55.0,TIER_B_ACTIVE,0.67595,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,2000,2,100,B2C retail,USA,,decor,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, Avanti Press & NIQUEA.D Greeting Cards: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Avanti Press,avantipress.com,v2_validated,61.45,55.0,TIER_B_ACTIVE,0.67595,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,2000,2,100,B2C retail,USA,,decor,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, Avanti Press: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Christopher Peacock,peacockhome.com,v2_validated,63.45,63.0,TIER_B_ACTIVE,0.6979500000000002,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,800,0,10,Mixed,USA,,,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, Christopher Peacock: Manual catalog navigation killing productivity, Your 10 reps have no portal"
