company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
Oceano Oltreluce,oceanoltreluce.com,TIER_A_IMMEDIATE,71.7,EDP8_Technology_Obsolescence,20250919_021948
Lightly,lightly.com,TIER_B_ACTIVE,66.55,EDP8_Technology_Obsolescence,20250919_021948
EFFICIENTLIGHTS,efficientlightingco.com,TIER_B_ACTIVE,52.45,EDP8_Technology_Obsolescence,20250919_021948
Cree Lighting,creelighting.com,TIER_B_ACTIVE,59.9,EDP8_Technology_Obsolescence,20250919_021948
PLP COMPOSITES,plpcomp.com,TIER_B_ACTIVE,61.45,EDP7_Sales_Enablement,20250919_021948
Balanced Care by Axis,axislighting.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250919_021948
Balanced Care by Axis,axislighting.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250919_021948
Liteline,liteline.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250919_021948
DELTA LIGHT USA,deltalight.com,TIER_B_ACTIVE,44.65,EDP8_Technology_Obsolescence,20250919_021948
Pa-Co Lighting,pacolighting.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250919_021948
LIND EQUIPMENT LTD,lindequipment.net,TIER_B_ACTIVE,58.2,EDP7_Sales_Enablement,20250919_021948
COOLEDGE LIGHTING,cooledgelighting.com,TIER_A_IMMEDIATE,78.8,EDP7_Sales_Enablement,20250919_021948
Visa Lighting,visalighting.com,TIER_B_ACTIVE,44.2,EDP8_Technology_Obsolescence,20250919_021948
Edison Lighting Group,edisonlighting.ca,TIER_B_ACTIVE,64.45,EDP7_Sales_Enablement,20250919_021948
Balanced Care by Axis,axislighting.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250919_021948
LIND EQUIPMENT LTD,lindequipment.net,TIER_B_ACTIVE,58.2,EDP7_Sales_Enablement,20250919_021948
Pinnacle Architectural Lighting,pinnacle-ltg.com,TIER_B_ACTIVE,69.25,EDP7_Sales_Enablement,20250919_021948
Pinnacle Architectural Lighting,pinnacle-ltg.com,TIER_B_ACTIVE,69.25,EDP7_Sales_Enablement,20250919_021948
Technilum,technilum.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250919_021948
CORONET,coronetled.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250919_021948
CORONET,coronetled.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250919_021948
Pa-Co Lighting,pacolighting.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250919_021948
Pinnacle Architectural Lighting,pinnacle-ltg.com,TIER_B_ACTIVE,69.25,EDP7_Sales_Enablement,20250919_021948
ILP,ilp-inc.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250919_021948
Liteline,liteline.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250919_021948
PAL Lighting,pallighting.com,TIER_B_ACTIVE,48.95,EDP8_Technology_Obsolescence,20250919_021948
Griven,griven.com,TIER_A_IMMEDIATE,71.7,EDP8_Technology_Obsolescence,20250919_021948
Trinity Lighting,trinitylighting.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250919_021948
Pinnacle Architectural Lighting,pinnacle-ltg.com,TIER_B_ACTIVE,69.25,EDP7_Sales_Enablement,20250919_021948
Liteline,liteline.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250919_021948
NLS LIGHTING,nlslighting.com,TIER_B_ACTIVE,44.0,EDP8_Technology_Obsolescence,20250919_021948
Cooledge Lighting,cooledgelighting.com,TIER_A_IMMEDIATE,78.8,EDP7_Sales_Enablement,20250919_021948
ILP,ilp-inc.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250919_021948
MP Lighting,mplighting.com,TIER_B_ACTIVE,44.75,EDP8_Technology_Obsolescence,20250919_021948
Balanced Care by Axis,axislighting.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250919_021948
Lighting Services Inc,lightingservicesinc.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250919_021948
Crucial Power Products,crucialpower.com,TIER_A_IMMEDIATE,72.2,EDP7_Sales_Enablement,20250919_021948
National Lighting,natltg.com,TIER_B_ACTIVE,49.45,EDP8_Technology_Obsolescence,20250919_021948
Everbrite Lighting,everbritelighting.com,TIER_B_ACTIVE,66.45,EDP8_Technology_Obsolescence,20250919_021948
Liteline,liteline.com,TIER_B_ACTIVE,45.95,EDP8_Technology_Obsolescence,20250919_021948
Ligman,ligman.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250919_021948
NLS LIGHTING,nlslighting.com,TIER_B_ACTIVE,44.0,EDP8_Technology_Obsolescence,20250919_021948
Eluxnet,eluxnet.com,TIER_B_ACTIVE,67.05,EDP7_Sales_Enablement,20250919_021948
Crucial Power Products,crucialpower.com,TIER_A_IMMEDIATE,72.2,EDP7_Sales_Enablement,20250919_021948
JAYKAL,jaykal.net,TIER_B_ACTIVE,63.55,EDP7_Sales_Enablement,20250919_021948
