company_name,domain,processing_version,weighted_psi_score,averaged_psi_score,qualification_tier,purchase_probability,weighted_primary_edp,averaged_primary_edp,primary_edp_match,has_product_search,has_mobile_optimization,has_ssl,page_speed_score,sku_count_estimate,channel_count,rep_count_estimate,target_audience,geographic_presence,trade_shows_mentioned,product_types,campaign_type,email_count,linkedin_count,ad_suggestions_count,missing_features,evidence_hooks
Abbott Collection,abbottcollection.com,v2_validated,46.25,37.0,TIER_B_ACTIVE,0.48562500000000003,EDP8_Technology_Obsolescence,EDP8_Technology_Obsolescence,True,True,True,True,Poor,1200,1,100,B2B wholesale,Worldwide,,"furniture, lighting, outdoor, decor",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Rep portal","SSL EXPIRED - customers questioning credibility, Abbott Collection 40% slower than digital competitors, Your 10 reps have no portal"
"A & B HOME GROUP, INC.",abhomeinc.com,v2_validated,56.25,50.0,TIER_B_ACTIVE,0.5906250000000001,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,1,10,Trade only,Unknown,,"furniture, lighting, outdoor, decor",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Project boards, Rep portal","SSL EXPIRED - customers questioning credibility, A & B HOME GROUP, INC. 40% slower than digital competitors, Your 10 reps have no portal"
"Allstate Floral, Inc.",allstatefloral.com,v2_validated,78.0,70.0,TIER_A_IMMEDIATE,0.8580000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,False,True,Poor,500,1,10,Mixed,Unknown,,decor,crisis_intervention,8,2,2,"Product search, Comparison tool, Quote builder, Project boards, Mobile site, Rep portal","No mobile site for High Point Market?, Allstate Floral, Inc.: Manual catalog navigation killing productivity, Your 10 reps have no portal"
A. Rudin,arudin.com,v2_validated,54.75,56.0,TIER_B_ACTIVE,0.574875,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,10,Trade only,Unknown,,"furniture, lighting",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Rep portal","SSL EXPIRED - customers questioning credibility, A. Rudin 40% slower than digital competitors, Your 10 reps have no portal"
Capel Rugs,capelrugs.com,v2_validated,52.0,49.0,TIER_B_ACTIVE,0.546,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,1,10,Trade only,Worldwide,,"outdoor, decor",crisis_intervention,8,2,2,"Quote builder, Rep portal","SSL EXPIRED - customers questioning credibility, Capel Rugs 40% slower than digital competitors, Your 10 reps have no portal"
Anne McGilvray & Company,annemcgilvray.com,v2_validated,42.75,42.0,TIER_B_ACTIVE,0.448875,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,2,100,B2B wholesale,USA,,decor,crisis_intervention,8,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Castelle,castellefurniture.com,v2_validated,47.75,47.0,TIER_B_ACTIVE,0.382,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,500,2,10,B2B wholesale,USA,,"furniture, outdoor",crisis_intervention,8,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Atkore,atkore.com,v2_validated,56.25,54.0,TIER_B_ACTIVE,0.5906250000000001,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,26,0,50,Trade only,USA,,decor,crisis_intervention,8,2,2,"Comparison tool, Rep portal","SSL EXPIRED - customers questioning credibility, Atkore 40% slower than digital competitors, Your 10 reps have no portal"
"Golden Rabbit II, Inc.",crowcanyonhome.com,v2_validated,46.75,43.0,TIER_B_ACTIVE,0.37400000000000005,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,790,0,10,B2B wholesale,Unknown,,"outdoor, decor",crisis_intervention,8,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Bernhardt Furniture Co,bernhardt.com,v2_validated,69.25,67.0,TIER_B_ACTIVE,0.76175,EDP7_Sales_Enablement,EDP1_SKU_Complexity,False,False,True,True,Poor,5000,2,20,Trade only,USA,Vegas Market,"furniture, outdoor, decor",crisis_intervention,8,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, Bernhardt Furniture Co: Manual catalog navigation killing productivity, SSL EXPIRED - customers questioning credibility"
Big Ass Fans,bigassfans.com,v2_validated,48.25,53.0,TIER_B_ACTIVE,0.386,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,5000,4,100,Mixed,Worldwide,,"outdoor, decor",crisis_intervention,8,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Bulbrite Industries,bulbrite.com,v2_validated,42.75,40.0,TIER_B_ACTIVE,0.448875,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,20,Trade only,Unknown,,"lighting, outdoor, decor",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Rep portal",Your 10 reps have no portal
burton + BURTON,burtonandburton.com,v2_validated,65.75,61.0,TIER_B_ACTIVE,0.7232500000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,True,True,Poor,16,1,100,Trade only,USA,,"outdoor, decor",crisis_intervention,8,2,2,"Product search, Comparison tool, Rep portal","No mobile site for High Point Market?, burton + BURTON: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Jackson Furniture Industries,catnapper.com,v2_validated,42.25,37.0,TIER_B_ACTIVE,0.338,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,2000,1,10,B2C retail,USA,,"furniture, decor",crisis_intervention,8,2,2,"Comparison tool, Quote builder, Project boards, Rep portal",Your 10 reps have no portal
Century Furniture,centuryfurniture.com,v2_validated,46.75,49.0,TIER_B_ACTIVE,0.49087500000000006,EDP8_Technology_Obsolescence,EDP8_Technology_Obsolescence,True,True,True,True,Poor,500,2,100,Trade only,Worldwide,,"furniture, lighting, outdoor, decor",crisis_intervention,8,2,2,"Comparison tool, Rep portal","SSL EXPIRED - customers questioning credibility, Century Furniture 40% slower than digital competitors, Your 10 reps have no portal"
Coaster Company of America,coasterfurniture.com,v2_validated,56.25,51.0,TIER_B_ACTIVE,0.61875,EDP7_Sales_Enablement,EDP8_Technology_Obsolescence,False,False,True,True,Poor,3,1,20,B2B wholesale,USA,High Point Market,"furniture, lighting, decor",crisis_intervention,8,2,2,"Product search, Comparison tool","No mobile site for High Point Market?, Coaster Company of America: Manual catalog navigation killing productivity, SSL EXPIRED - customers questioning credibility"
Cyncly,cyncly.com,v2_validated,49.75,47.0,TIER_B_ACTIVE,0.398,EDP2_Rep_Management,EDP2_Rep_Management,True,True,True,True,Poor,5000,2,100,Trade only,Worldwide,,"furniture, lighting, decor",crisis_intervention,8,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Dovetail Furniture Pvt Ltd,dovetail.in,v2_validated,67.75,63.0,TIER_B_ACTIVE,0.7452500000000001,EDP7_Sales_Enablement,EDP1_SKU_Complexity,False,False,True,True,Poor,5000,1,100,B2C retail,Worldwide,,"furniture, lighting, decor",crisis_intervention,8,2,2,"Product search, Comparison tool, Quote builder, Rep portal","No mobile site for High Point Market?, Dovetail Furniture Pvt Ltd: Manual catalog navigation killing productivity, Your 10 reps have no portal"
